,0,1,2,3,4,5,6
0,-1,0.875,3.125,-1.361111111,-0.145321181,-0.192743056,0
1,43.375,-1.625,16.66071429,31.53571429,-0.147676215,-0.19494184,0
2,-0.75,1,-17.35714286,-2.857142857,-0.09254286,-0.063763563,0
3,-32.5,6.5,3.904761905,-17.26190476,-0.058818251,-0.092441298,0
4,15.375,3.125,6.095238095,3.404761905,-0.129258789,-0.168545898,0
5,-2,-8.272727273,1.025974026,8.155844156,-0.084451823,-0.14128776,0
6,-3.25,9.647727273,0.045454545,-5.602272727,-0.12827837,-0.115895557,0
7,3.472222222,-5.263888889,-11.5,7.875,-0.108402127,-0.144007595,0
8,-0.767676768,-4.02020202,-1.857142857,-2.142857143,-0.106851514,-0.131326341,0
9,-0.854545455,0.409090909,0.982142857,2.892857143,-0.108363755,-0.133239465,0
10,-105.5,109.0694444,-189.0571429,-34.57142857,-0.200274064,0.637586179,0
11,-12.80952381,22.57142857,5.7,-8.5,-0.089873698,0.089071615,0
12,9.642857143,0.303571429,-20.6,7.6,-0.076436322,0.027698723,0
13,-23.95833333,31.91666667,-7.5,-4.333333333,-0.069505498,0.110155961,0
14,-1,-0.375,-33.66666667,1.833333333,-0.063829319,0.010184353,0
15,-84.14166667,-2.45,-18.51020408,-36.42857143,0.174330122,0.221619184,0
16,-21.04285714,14.08571429,-2,1,-0.02994339,0.061301029,0
17,8.881118881,0.692307692,-0.714285714,-0.301587302,-0.116598124,0.062233006,0
18,-1.627272727,29.6,-27.03571429,6.732142857,-0.081702375,0.071113676,0
19,73.25,66.85714286,-73.27884615,56.45192308,-0.421597439,-0.021265408,0
20,-3.625,-0.5,-0.625,-1.125,0.185945855,-0.064259223,0
21,-19.53571429,-33.73214286,54.39285714,-17.625,0.177225911,-0.072090495,0
22,-7.614285714,1.714285714,4.428571429,0.428571429,0.06565842,-0.037170821,0
23,2.5,1.5,11.66666667,25.27777778,-0.067392072,-0.11502228,0
24,37.0952381,9.833333333,-6.266666667,-3.844444444,-0.127119936,-0.059554832,0
25,-2.875,-0.5,-23.75324675,-31.8961039,0.082590169,0.17314681,0
26,-54.65,2.525,-11.56818182,-0.193181818,0.180645616,0.086993273,0
27,-1,-1.418181818,0.347222222,-1.666666667,0.072677991,-0.065329822,0
28,9.6,-19.2,22.54166667,-0.666666667,0.069178733,-0.066657205,0
29,-1.265734266,-1.685314685,-0.285714286,0.571428571,0.122661692,0.058445947,0
30,-30.02272727,-20.29545455,9.142857143,-27.42857143,0.11372092,0.060201744,0
31,-18.16666667,0.666666667,2,-1,0.235931858,0.24550217,0
32,-106.0333333,-13.76666667,-14.5,-31.3,0.169488137,0.223576678,0
33,130.0333333,38.43333333,-2.75,-0.125,-0.140765885,0.036538802,0
34,0.166666667,3.766666667,60.375,-20.625,0.404235822,0.14061603,0
35,-127.5714286,-81.02857143,-10.125,-0.375,0.364608594,0.171460156,0
36,130.5714286,98.14285714,-0.375,0,-0.24446658,0.12600775,0
37,-141,-99.71428571,-22.50595238,11.33928571,0.429197855,0.134248078,0
38,10.85714286,-2.571428571,37.48095238,-15.71428571,-0.273974392,0.10684592,0
39,126.7142857,101.1428571,-136.2111111,66.33333333,-0.263737785,0.142395027,0
40,-0.571428571,0.553571429,163.9861111,-64.45833333,0.465169085,0.093165737,0
41,162.3363636,-32.12727273,109.125,82.95833333,-0.110363281,-0.575224787,0
42,-2.285714286,-0.571428571,2.902777778,-3.972222222,0.121553757,0.045733445,0
43,-39.07142857,-5.428571429,4.693181818,-19.79545455,0.118958519,0.038584635,0
44,3.857142857,-4.428571429,-7.06993007,-0.979020979,0.153542845,0.117186818,0
45,-59.5,-20.05714286,8.948717949,-30.4957265,0.170780568,0.119458023,0
46,5.642857143,1.589285714,0.5,2.666666667,0.418634549,-0.067302951,0
47,-72.14285714,-82.02197802,101.75,-31.91666667,0.43537345,-0.057522755,0
48,-1.375,-1,52.02272727,8.946969697,0.068343316,-0.169820747,0
49,32.775,-2.625,-0.083333333,-2.916666667,-0.039599067,-0.093104926,0
50,-0.428571429,0,18.45,-13.3,0.102127666,0.003494854,0
51,-24.42857143,-32.88571429,38.03409091,-19.40909091,0.155240389,-0.03068037,0
52,5.5,-10,3.650793651,-5.222222222,0.186277127,-0.11491428,0
53,-15.19444444,-35.05555556,62.27777778,-14.40277778,0.188741102,-0.094833116,0
54,9.438461538,1.176923077,1.375,0.5,0.209796007,-0.077532118,0
55,-31.03846154,-45.82692308,56,-23.625,0.243720987,-0.065687066,0
56,86,3.5,15.66666667,44,-0.177946615,-0.232438802,0
57,1.166666667,0.166666667,122.2840909,36.18181818,0.113552373,-0.412515336,0
58,79.22222222,-51.77777778,-99.15277778,15,-0.149007668,-0.207900897,0
59,-80.09722222,30.56944444,1.555555556,1,0.136379581,-0.108963301,0
60,1.625,-0.125,32.72222222,-53.375,-0.085107313,-0.260058485,0
61,76.79545455,7.454545455,15.5,38.75,-0.012310981,-0.3090102,0
62,3.254545455,-7.454545455,0.625,-0.375,0.164076744,-0.136750671,0
63,-80.63333333,-5.5,-7.069444444,-41.66666667,0.160574045,-0.121090017,0
64,24.54761905,-3.214285714,0.069444444,41.04166667,-0.034865451,-0.294162326,0
65,61.88571429,11.41428571,-0.482142857,3.625,-0.044505642,-0.188819258,0
66,-47.02857143,4.728571429,1.057142857,-47.9,0.189746788,-0.120151649,0
67,-86.10714286,-3.583333333,-15.24603175,-49.22222222,0.175963469,0.212324146,0
68,2.777777778,-0.291666667,33.65873016,-29.04761905,0.228137008,0.024764612,0
69,-54.14285714,-33.66071429,-0.071428571,0.642857143,0.247796441,0.020882378,0
