,0,1,2,3,4,5
0,616.25,511.375,701.6,571.2,-0.045470269097222626,0.20130707465277453
1,608.4285714285714,498.42857142857144,655.25,590.625,-0.07157359871031588,0.18996099950396683
2,579.0,506.0,654.0,591.5,0.006208333333333333,0.006208333333333333
3,638.4444444444445,618.4444444444445,639.7142857142857,626.5714285714286,0.24211694637345715,0.07089732831789775
4,636.875,617.375,651.6666666666666,625.3333333333334,0.21549880642361074,0.08490310329861472
5,567.5,592.0,668.25,592.5,0.009791666666666667,0.009791666666666667
6,611.0,524.375,670.5714285714286,578.2857142857143,-0.004536892361112876,0.1491740451388921
7,611.375,524.0,673.4285714285714,578.5714285714286,-0.009203016493056992,0.15422471788194514
8,570.8333333333334,550.0,626.75,564.0,0.00876475694444423,-0.021313368055558612
9,570.5,549.0,638.2857142857143,561.4285714285714,0.008,0.008
10,614.5,548.875,620.8333333333334,526.3333333333334,0.253727430555557,-0.03353819444444639
11,614.75,549.875,617.8,526.8,0.25809700520833445,-0.03586783854166953
12,569.375,496.875,672.1666666666666,496.1666666666667,0.005828125,0.005828125
13,559.6666666666666,545.8333333333334,671.25,538.75,0.007868055555555557,0.007868055555555557
14,595.0,510.25,694.1818181818181,547.6363636363636,-0.05831640625000034,0.12625390624999966
15,599.7142857142857,511.85714285714283,691.5833333333334,550.0833333333334,-0.03933885168650875,0.1306220858134921
16,573.25,535.0,661.5,543.25,0.007416666666666667,0.007416666666666667
17,562.75,525.375,660.0,527.2857142857143,0.007015625,0.007015625
18,574.125,500.125,668.625,524.375,0.0059635416666666665,0.0059635416666666665
19,578.3333333333334,502.6666666666667,648.8,527.7,0.006069444444444445,0.006069444444444445
20,584.2222222222222,570.5555555555555,620.1428571428571,579.0,0.07886308834876843,-0.021245418595675858
21,577.1666666666666,573.3333333333334,641.0,563.75,0.00901388888888889,0.00901388888888889
22,595.4285714285714,537.8571428571429,666.8,568.4,0.007535714285714287,0.007535714285714287
23,602.2727272727273,555.1818181818181,620.8,566.4,0.134524818497475,0.008427517361113246
24,599.8181818181819,557.3636363636364,618.0,563.8,0.14235965119949512,-0.007338502209599085
25,582.6666666666666,540.0,637.8333333333334,547.3333333333334,0.007625,0.007625
26,598.4,604.4,639.1666666666666,616.3333333333334,0.010308333333333333,0.010308333333333333
27,592.0714285714286,579.5714285714286,655.8333333333334,606.1666666666666,0.009273809523809523,0.009273809523809523
28,591.0,538.5,645.5,555.0,0.0075625,0.0075625
29,607.6,560.6,690.0,591.1,0.005603906249998403,0.1278773437500007
30,571.1666666666666,579.6666666666666,692.1,588.0,-0.07777488425925938,0.045923032407401365
31,612.3333333333334,591.0,667.2857142857143,581.0,0.14479470486111268,0.0407712673611087
32,609.3333333333334,580.8333333333334,663.7142857142857,609.4285714285714,0.05658434606481677,0.09597236689815247
33,564.2,532.8,673.0,578.875,0.007324999999999998,0.007324999999999998
